member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,27,3,gbdrift0_over_shat,13,0.34191975090652704,38,26.086011629589272,0.7788863182067871,0.2696174681186676
2864601_0.437,27,4,gds2,13,0.5605998820974492,0,23.134693849741247,0.8816466927528381,0.28374555706977844
2864601_0.437,27,5,gds21_over_shat,13,0.013887890614569187,40,25.0551336605672,0.42224201560020447,0.1468358337879181
2864601_0.437,27,6,gds22_over_shat_squared,13,0.5838287258520722,0,21.152360633226575,0.8703362941741943,0.283218115568161
2864601_0.437,28,0,bmag,13,0.7577679110690951,0,19.629466130159226,0.9566552639007568,0.3287050127983093
2864601_0.437,28,1,gbdrift,13,8.661538511514664,0,7.740422967970159,8.661538124084473,2.5990216732025146
2864601_0.437,28,2,cvdrift,13,5.028786219656467,0,9.852453641939599,5.028785705566406,1.546592354774475
2864601_0.437,28,3,gbdrift0_over_shat,13,4.515938100405037,0,11.201501883294206,4.538383483886719,1.5803357362747192
2864601_0.437,28,4,gds2,13,0.41398491989821196,0,23.660488020072652,0.7317279577255249,0.2296135574579239
2864601_0.437,28,5,gds21_over_shat,13,0.6084284717217088,11,20.401505275201608,1.4720113277435303,0.483325719833374
2864601_0.437,28,6,gds22_over_shat_squared,13,0.25578412506729364,10,21.86167241165587,0.7780327796936035,0.2411041408777237
2864601_0.437,29,0,bmag,13,0.10491773020476103,6,17.804972922603042,1.063584566116333,0.34794342517852783
2864601_0.437,29,1,gbdrift,13,3.4487868696451187,0,12.852693400758996,3.448786973953247,0.9831323623657227
2864601_0.437,29,2,cvdrift,13,0.9707978889346123,2,17.649599645154844,1.3892645835876465,0.4297739863395691
2864601_0.437,29,3,gbdrift0_over_shat,13,8.666123136878014,0,10.33514594348608,8.666122436523438,2.6322295665740967
2864601_0.437,29,4,gds2,13,0.18832474015653133,48,25.75708644058878,0.7659867405891418,0.24125996232032776
2864601_0.437,29,5,gds21_over_shat,13,0.6899757739156485,0,20.307988536683464,1.1351995468139648,0.3625842034816742
2864601_0.437,29,6,gds22_over_shat_squared,13,0.6588513772003353,0,20.570581052825247,0.6958028674125671,0.23876255750656128
2864601_0.371,0,0,bmag,3,1.2282695174217224,0,13.749720531681207,1.2282695770263672,0.7287815809249878
2864601_0.371,0,1,gbdrift,3,0.05653441697359085,48,30.716613832425573,0.525934636592865,0.36430010199546814
2864601_0.371,0,2,cvdrift,3,0.7094261795282364,0,22.745974270878584,0.7094261646270752,0.47630035877227783
2864601_0.371,0,3,gbdrift0_over_shat,3,3.3507604598999023,0,16.162588752066686,3.3507604598999023,1.938765287399292
2864601_0.371,0,4,gds2,3,0.15409880876541138,23,23.026164286634426,0.3546428084373474,0.20599208772182465
2864601_0.371,0,5,gds21_over_shat,3,0.9844346642494202,0,16.111102611322902,0.9844346046447754,0.5809488892555237
2864601_0.371,0,6,gds22_over_shat_squared,3,0.3978174477815628,0,18.29569382636913,0.397817462682724,0.27662742137908936
2864601_0.371,1,0,bmag,3,1.897725224494934,0,13.860047951728566,1.897725224494934,1.1176869869232178
2864601_0.371,1,1,gbdrift,3,2.616644322872162,0,17.581947301628233,2.6166443824768066,1.52513587474823
2864601_0.371,1,2,cvdrift,3,1.8917522430419922,0,13.917341755652485,1.8917522430419922,1.143933892250061
2864601_0.371,1,3,gbdrift0_over_shat,3,0.09280820190906525,48,31.144362309427567,0.3017398416996002,0.18281683325767517
2864601_0.371,1,4,gds2,3,0.008706562221050262,48,32.52585247696691,0.41569650173187256,0.2663446068763733
2864601_0.371,1,5,gds21_over_shat,3,0.0035438649356365204,48,33.02780189372785,0.2720443606376648,0.17110778391361237
2864601_0.371,1,6,gds22_over_shat_squared,3,0.022267269901931286,48,30.741262911932434,0.2546549439430237,0.17749188840389252
2864601_0.371,2,0,bmag,3,0.18453151732683182,48,29.48709380287958,0.35621994733810425,0.21099421381950378
2864601_0.371,2,1,gbdrift,3,0.8328726962208748,48,25.436167977649593,0.9791769981384277,0.655190646648407
2864601_0.371,2,2,cvdrift,3,1.395548552274704,0,16.77123341262653,1.3955485820770264,0.8188672065734863
2864601_0.371,2,3,gbdrift0_over_shat,3,0.8469708114862442,0,16.46453597370859,0.846970796585083,0.550123393535614
