entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.340,member,fixed,stable_near_floor,23,stellarator_parity,0.009321145389391028,0.011878941370093304,0.027916625448380288,0.11776363849639893,0.01417347126335502,,
2864601_0.340,member,fixed,stable_near_floor,23,plain_reversal_control,0.06437948994014574,0.08172656660494597,0.18007078356027736,0.7749764919281006,0.09142323024968234,,
2864601_0.340,member,fixed,unstable,977,stellarator_parity,0.002172338803934587,0.023554457185700338,0.06625231933671959,1.2471522688865662,0.028643022129319427,,
2864601_0.340,member,fixed,unstable,977,plain_reversal_control,-0.13721345474098942,0.28069025391718505,0.3982939160304353,3.664997696876526,0.1721953520276249,,
2864601_0.296,member,varied,all,1000,stellarator_parity,0.00427273291349411,0.02543963760137558,0.046310734170507205,0.34976768493652344,0.022282776190119803,0.2619513822510106,0.17679133346252285
2864601_0.296,member,varied,all,1000,plain_reversal_control,-0.14310949957370758,0.3622843365371227,0.577909989501395,3.447808265686035,0.27806596428987307,0.2619513822510106,2.2061727047793256
2864601_0.296,member,varied,stable_near_floor,240,stellarator_parity,0.0030305436501900356,0.009383647764722506,0.028913406903014544,0.25395870208740234,0.015043344808329253,0.15161780628582996,0.1906992826984119
2864601_0.296,member,varied,stable_near_floor,240,plain_reversal_control,0.04068140387535095,0.1012125184138616,0.28697294598816725,2.196777641773224,0.14930903824799518,0.15161780628582996,1.8927390721322384
2864601_0.296,member,varied,unstable,760,stellarator_parity,0.004665003207169081,0.030509950181371287,0.05057625399379314,0.34976768493652344,0.023797290139696375,0.299842514879022,0.1686760598782972
2864601_0.296,member,varied,unstable,760,plain_reversal_control,-0.20114873224183133,0.4447280685760473,0.6429937410173723,3.447808265686035,0.30254333614500273,0.299842514879022,2.144438193752484
2864601_0.296,member,fixed,all,1000,stellarator_parity,0.004686889305710792,0.020720117911696433,0.04126363805227509,0.4870782494544983,0.01781059414139867,,
2864601_0.296,member,fixed,all,1000,plain_reversal_control,-0.12077203971147538,0.2993087881207466,0.39410586286475524,2.4618327617645264,0.17010762752759426,,
2864601_0.296,member,fixed,stable_near_floor,23,stellarator_parity,0.006077590196028999,0.007371135379957116,0.013560066304064464,0.038404226303100586,0.006891802068449884,,
2864601_0.296,member,fixed,stable_near_floor,23,plain_reversal_control,0.23009261359339175,0.2374876944915108,0.4149820468956152,1.1733753681182861,0.21091151510870748,,
2864601_0.296,member,fixed,unstable,977,stellarator_parity,0.004654150185467887,0.021034372362290093,0.04169463847222838,0.4870782494544983,0.017937864929364764,,
2864601_0.296,member,fixed,unstable,977,plain_reversal_control,-0.12903190360708636,0.3007641465173407,0.3936010674120233,2.4618327617645264,0.1693350282433406,,
2864601_0.270,member,varied,all,1000,stellarator_parity,0.0020141431093215942,0.028211703240871428,0.057781756763828414,0.6710337996482849,0.028028173079858807,0.27239201461463064,0.2121272051443055
2864601_0.270,member,varied,all,1000,plain_reversal_control,-0.17704814299941063,0.30592915503680707,0.4909945597244921,3.179192304611206,0.2381665299218107,0.27239201461463064,1.8025291982921439
2864601_0.270,member,varied,stable_near_floor,240,stellarator_parity,0.0012615419303377469,0.011020071618258954,0.03019656037860196,0.24111604690551758,0.015858950668460596,0.18018118524149962,0.16758997526922162
2864601_0.270,member,varied,stable_near_floor,240,plain_reversal_control,-0.0160690788179636,0.10083581941823165,0.25402103721363317,1.7322797775268555,0.13340946940357165,0.18018118524149962,1.4098088924943237
2864601_0.270,member,varied,unstable,760,stellarator_parity,0.0022518066395270197,0.033640639542749054,0.06407121523646227,0.6710337996482849,0.030382045491165077,0.3058634695823411,0.20947652010863538
2864601_0.270,member,varied,unstable,760,plain_reversal_control,-0.22788363695144653,0.37069547154793614,0.5448192031304201,3.179192304611206,0.2583488037940123,0.3058634695823411,1.7812496663114914
2864601_0.270,member,fixed,all,1000,stellarator_parity,0.0068368899188935755,0.025087172735482454,0.06114816723577774,1.036817193031311,0.02656617340698318,,
